AppID,Name,Current,24h Peak,All-Time Peak
402840.0,Crusaders of the Lost Idols,"1,324","1,714","4,068"
620.0,Portal 2,"1,322","1,764","98,460"
200210.0,Realm of the Mad God,"1,320","1,325","10,051"
700330.0,SCP: Secret Laboratory,"1,301","1,627","4,334"
464920.0,Surviving Mars,"1,289","1,973","23,521"
225540.0,Just Cause 3,"1,288","2,002","23,459"
392110.0,Endless Space 2,"1,281","1,815","16,683"
295270.0,Football Manager 2015,"1,279","2,678","82,071"
700030.0,Life is Feudal: MMO,"1,268","2,065","5,331"
706220.0,Black Desert Online SA,"1,268","1,363","2,377"
32470.0,STAR WARS™ Empire at War: Gold Pack,"1,261","1,387","2,964"
334230.0,Town of Salem,"1,242","1,242","3,787"
301520.0,Robocraft,"1,219","1,974","26,725"
335300.0,DARK SOULS™ II: Scholar of the First Sin,"1,174","1,872","12,106"
219740.0,Don't Starve,"1,167","1,967","16,796"
433340.0,Slime Rancher,"1,161","1,203","6,452"
244210.0,Assetto Corsa,"1,154","2,963","7,067"
645630.0,Car Mechanic Simulator 2018,"1,149","1,553","8,474"
311210.0,Call of Duty: Black Ops III,"1,145","2,158","63,681"
588430.0,Fallout Shelter,"1,143","1,972","42,656"
310950.0,Street Fighter V: Arcade Edition,"1,142","1,636","14,783"
589360.0,Ni no Kuni™ II: Revenant Kingdom,"1,139","1,574","10,805"
242920.0,Banished,"1,136","1,420","24,636"
364470.0,The Elder Scrolls: Legends,"1,132","1,850","8,873"
212680.0,FTL: Faster Than Light,"1,131","1,364","19,301"
438040.0,Shakes and Fidget,"1,128","3,809","9,495"
389730.0,TEKKEN 7,"1,123","2,657","18,966"
551170.0,Onmyoji,"1,123","1,571","1,571"
527230.0,For The King,"1,114","1,114","1,563"
555570.0,Infestation: The New Z,"1,111","2,121","14,437"
1840.0,Source Filmmaker,"1,097","1,097","3,975"
298110.0,Far Cry 4,"1,091","1,522","16,963"
379720.0,DOOM,"1,071","1,408","44,271"
506140.0,Shop Heroes,"1,050","1,686","4,222"
391220.0,Rise of the Tomb Raider,"1,024","1,884","44,588"
200510.0,XCOM: Enemy Unknown,"1,013","1,525","70,568"
4760.0,Rome: Total War,"1,007","1,502","4,413"
273110.0,Counter-Strike Nexon: Zombies,"1,004","1,485","10,007"
376210.0,The Isle,"1,003","1,143","2,472"
22330.0,The Elder Scrolls IV: Oblivion ,993,"1,098","6,390"
531640.0,Eternal Card Game,977,"1,232","2,894"
304030.0,ArcheAge,964,"1,250","6,509"
329110.0,Gems of War,963,"1,713","2,581"
588650.0,Dead Cells,956,"1,359","6,817"
3910.0,Sid Meier's Civilization III: Complete,946,"1,046","4,600"
34030.0,Napoleon: Total War,945,"1,519","9,935"
244450.0,Men of War: Assault Squad 2,943,"1,540","9,750"
8800.0,Sid Meier's Civilization IV: Beyond the Sword,934,"1,208","2,475"
698780.0,Doki Doki Literature Club,926,"1,017","7,402"
459820.0,Crush Crush,914,"1,032","2,362"
663090.0,Granado Espada,897,"1,149","1,957"
233450.0,Prison Architect,886,"1,359","16,211"
704450.0,Neverwinter Nights: Enhanced Edition,882,992,"1,884"
382310.0,Eco,871,"2,018","6,964"
333930.0,Dirty Bomb,862,"1,569","13,113"
536930.0,MOBIUS FINAL FANTASY,859,"1,403","9,443"
312660.0,Sniper Elite 4,856,"1,683","7,673"
261640.0,Borderlands: The Pre-Sequel,843,"1,205","68,238"
466240.0,Deceit,839,"1,700","16,923"
380600.0,Fishing Planet,837,"1,645","6,709"
295110.0,Just Survive,834,"1,142","40,335"
365670.0,Blender,834,"1,149","1,404"
10090.0,Call of Duty: World at War,831,849,"4,825"
518790.0,theHunter™: Call of the Wild,818,"1,601","5,524"
391540.0,Undertale,817,843,"10,484"
735850.0,Trailer Park Boys: Greasy Money,817,959,959
268910.0,Cuphead,815,865,"19,026"
594650.0,Hunt: Showdown,814,"1,587","10,617"
221680.0,Rocksmith® 2014 Edition - Remastered,814,"1,029","4,063"
454650.0,DRAGON BALL XENOVERSE 2,812,"1,137","19,416"
228200.0,Company of Heroes ,810,"1,721","5,906"
466170.0,Idling to Rule the Gods,810,897,"2,783"
215080.0,WAKFU,809,"1,004","4,078"
266840.0,Age of Mythology: Extended Edition,794,"1,089","11,074"
363890.0,RPG Maker MV,790,924,"2,486"
612020.0,Zombidle: REMONSTERED,789,"1,116","2,382"
326460.0,ShellShock Live,787,"1,489","7,455"
415200.0,Motorsport Manager,781,"1,650","6,251"
775220.0,Crusaders of Light,773,928,998
231670.0,Football Manager 2014,772,"1,552","79,105"
236870.0,HITMAN™,770,"1,228","51,650"
795100.0,Friday the 13th: Killer Puzzle,766,"1,475","1,571"
200710.0,Torchlight II,765,"1,384","54,821"
220240.0,Far Cry® 3,765,"1,255","23,065"
524220.0,NieR:Automata™,761,"1,331","23,908"
495910.0,Dungeon Fighter Online,761,852,"3,469"
280790.0,Creativerse,756,"1,028","10,929"
335240.0,Transformice,755,"1,013","5,636"
590380.0,Into the Breach,747,921,"14,682"
212740.0,TERA,745,"2,559","5,068"
203160.0,Tomb Raider,744,"1,407","29,244"
418460.0,Rising Storm 2: Vietnam,739,"1,040","24,518"
339600.0,VEGA Conflict,737,886,"3,814"
384300.0,CPUCores :: Maximize Your FPS,732,"1,486","6,139"
611670.0,The Elder Scrolls V: Skyrim VR,727,867,"3,048"
644560.0,Mirror,721,"2,435","2,435"
212500.0,The Lord of the Rings Online™,714,"1,195","3,965"
215830.0,Closers,713,850,"2,091"
385760.0,NBA 2K17,710,"1,943","14,905"
233860.0,Kenshi,707,"1,022","1,405"
466560.0,Northgard,698,"1,441","7,758"
446800.0,Transport Fever,697,"1,747","12,615"
10190.0,Call of Duty: Modern Warfare 2 - Multiplayer,693,"1,657","112,874"
33930.0,Arma 2: Operation Arrowhead,693,"1,450","19,175"
275850.0,No Man's Sky,691,832,"212,613"
677120.0,Heroes of Hammerwatch,684,836,"2,648"
619290.0,Out of the Park Baseball 19,684,778,955
8980.0,Borderlands,683,"1,017","23,655"
289130.0,Endless Legend,680,949,"10,468"
515220.0,F1 2017,680,"2,464","8,111"
537180.0,Digimon Masters Online,680,783,"3,830"
622590.0,PUBG: Test Server,679,"89,124","320,178"
17390.0,Spore,679,694,"5,630"
282070.0,This War of Mine,672,"1,315","9,503"
444640.0,Bloons TD Battles,668,893,"2,634"
311690.0,Enter the Gungeon,662,807,"13,699"
226860.0,Galactic Civilizations III,660,845,"6,297"
397900.0,Business Tour - Online Multiplayer Board Game,648,"1,780","7,707"
378540.0,The Surge,645,855,"5,978"
592600.0,PRO EVOLUTION SOCCER 2018 LITE,629,"1,277","1,603"
24200.0,DC Universe Online,627,718,"17,701"
337000.0,Deus Ex: Mankind Divided™,626,"1,039","52,485"
24010.0,Train Simulator,623,"1,602","3,821"
360430.0,Mafia III,615,"1,210","47,822"
283640.0,Salt and Sanctuary,614,"1,064","2,430"
673950.0,Farm Together,611,"1,395","2,328"
251060.0,Wargame: Red Dragon,610,993,"4,779"
65980.0,Sid Meier's Civilization: Beyond Earth,607,747,"86,892"
20900.0,The Witcher: Enhanced Edition,607,"1,307","8,338"
387990.0,Scrap Mechanic,605,"1,317","3,832"
204880.0,Sins of a Solar Empire: Rebellion,601,673,"4,863"
667890.0,Dead Maze,601,928,"3,967"
241930.0,Middle-earth™: Shadow of Mordor™,598,"1,027","48,668"
39120.0,RIFT,594,749,"15,546"
274940.0,Depth,593,"1,172","10,916"
208650.0,Batman™: Arkham Knight,589,958,"27,406"
674940.0,Stick Fight: The Game,586,732,"5,147"
386070.0,Planetary Annihilation: TITANS,585,836,"4,577"
621060.0,PC Building Simulator,585,"1,005","2,782"
202990.0,Call of Duty: Black Ops II - Multiplayer,583,"1,535","71,228"
438740.0,Friday the 13th: The Game,583,809,"16,096"
636480.0,Ravenfield,583,602,"1,277"
378860.0,Project CARS 2,579,"1,441","6,775"
548430.0,Deep Rock Galactic,576,793,"4,295"
269950.0,X-Plane 11,569,773,"1,252"
20920.0,The Witcher 2: Assassins of Kings Enhanced Edition,561,"1,320","12,884"
234140.0,Mad Max,560,920,"33,356"
12120.0,Grand Theft Auto: San Andreas,559,"1,015","2,320"
42960.0,Victoria II,559,650,"1,644"
367500.0,Dragon's Dogma: Dark Arisen,558,646,"27,368"
208580.0,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,558,606,"6,581"
666140.0,My Time At Portia,556,799,"9,162"
219640.0,Chivalry: Medieval Warfare,552,"1,062","25,145"
220.0,Half-Life 2,549,732,"12,953"
346010.0,Besiege,549,800,"6,638"
212200.0,Mabinogi,546,590,"1,229"
361420.0,ASTRONEER,544,738,"11,900"
485510.0,Nioh: Complete Edition,543,"1,152","10,649"
747610.0,ZULA Latino America,537,571,691
245620.0,Tropico 5,533,870,"13,483"
550900.0,Metin2,533,"1,159","8,285"
